Feature,Importance
PROM_PERIODO,0.2208338771568426
EFICIENCIA_x_CARGA,0.13902301237099757
EFICIENCIA,0.1253827785898372
ASIST_PROM,0.11628860014722417
REPROB_x_ASIST,0.10050830120724516
PROP_REPROB,0.09080055357844428
TASA_APROB,0.06703529789334549
TOTAL_MAT,0.04505548152783196
NIVEL,0.03867038664394229
REPROBADAS,0.027490798647700786
INDX_REPIT,0.011272723719618587
REPITENCIAS,0.007764365817496623
REPIT_PERSISTENTE,0.006714531494141823
RIESGO_CRITICO,0.0031592912053314782
